2018-02-22 00:35:37.298 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Relation »connections_with_aprx_price« existiert nicht
  Position: 15
2018-02-22 00:35:37.306 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-22 00:35:37.306 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-23 00:10:16.376 [AWT-EventQueue-0] ERROR database.updates.correctDuration - AirportList cant be generated. java.sql.SQLException: AirportList cant be created
2018-02-23 00:12:25.741 [AWT-EventQueue-0] ERROR database.updates.correctDuration - AirportList cant be generated. java.sql.SQLException: AirportList cant be created. org.postgresql.util.PSQLException: FEHLER: Operator existiert nicht: character varying == unknown
  Hinweis: Kein Operator stimmt mit dem angegebenen Namen und den Argumenttypen überein. Sie müssen möglicherweise ausdrückliche Typumwandlungen hinzufügen.
  Position: 104
2018-02-27 01:50:12.968 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:50:12.972 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:52:57.750 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:52:57.751 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:53:06.873 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:53:06.873 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:54:40.722 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 411
2018-02-27 01:54:40.723 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:54:40.723 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:55:02.341 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 411
2018-02-27 01:55:02.341 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:55:02.341 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-28 20:31:30.496 [Thread-3] ERROR database.QueryConnection - Cant Query connection for: FRA to JFK
 org.postgresql.util.PSQLException: FEHLER: Syntaxfehler bei »origin«
  Position: 798
2018-02-28 20:32:50.047 [Thread-3] ERROR database.utilities.SQLUtilities - Can't read this place from ResultSet: Frankfurt am Main Airport
2018-03-15 21:47:47.367 [Thread-6] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:47:47.369 [Thread-17] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:47:47.371 [Thread-15] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:47:47.367 [Thread-7] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:47:47.369 [Thread-14] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:47:47.368 [Thread-11] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:47:47.368 [Thread-16] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:49:25.980 [ForkJoinPool.commonPool-worker-1] ERROR api.GoogleMapsTimeZone - Local Time can't be calculated. javax.net.ssl.SSLPeerUnverifiedException: peer not authenticated
2018-03-15 21:49:25.984 [ForkJoinPool.commonPool-worker-1] WARN  pathCalculation.recursiveBreadthFirst.SearchNode - Connection from origin to origin airport cant be added. (origin: null)java.lang.IllegalStateException: Local Time can't be calculated. javax.net.ssl.SSLPeerUnverifiedException: peer not authenticated
2018-03-15 21:49:36.707 [Thread-18] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:49:36.707 [Thread-12] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:49:36.710 [Thread-5] ERROR database.Query - For airport FRA it's not possible to determine rest distance
2018-03-15 21:49:36.710 [Thread-10] ERROR database.Query - For airport HRG it's not possible to determine rest distance
2018-03-15 21:49:36.708 [Thread-16] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:49:36.708 [Thread-6] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:49:36.711 [Thread-17] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:49:36.712 [Thread-14] ERROR database.Query - For airport LHR it's not possible to determine rest distance
2018-03-15 21:49:36.713 [Thread-15] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:49:36.714 [Thread-11] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:49:36.714 [Thread-13] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:49:36.715 [Thread-9] ERROR database.Query - For airport IST it's not possible to determine rest distance
2018-03-15 21:49:36.716 [Thread-7] ERROR database.Query - For airport SVO it's not possible to determine rest distance
2018-03-15 21:56:28.544 [Thread-22] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:56:28.545 [Thread-19] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:56:28.547 [Thread-36] ERROR database.Query - For airport BCN it's not possible to determine rest distance
2018-03-15 21:56:28.547 [Thread-38] ERROR database.Query - For airport HER it's not possible to determine rest distance
2018-03-15 21:56:28.547 [Thread-26] ERROR database.Query - For airport ALC it's not possible to determine rest distance
2018-03-15 21:56:28.548 [Thread-28] ERROR database.Query - For airport MAD it's not possible to determine rest distance
2018-03-15 21:56:28.549 [Thread-35] ERROR database.Query - For airport ATH it's not possible to determine rest distance
2018-03-15 21:56:28.549 [Thread-31] ERROR database.Query - For airport AMM it's not possible to determine rest distance
2018-03-15 21:56:28.549 [Thread-30] ERROR database.Query - For airport DUB it's not possible to determine rest distance
2018-03-15 21:56:28.549 [Thread-32] ERROR database.Query - For airport LUX it's not possible to determine rest distance
2018-03-15 21:56:28.550 [Thread-34] ERROR database.Query - For airport DXB it's not possible to determine rest distance
2018-03-15 21:56:28.551 [Thread-33] ERROR database.Query - For airport RAK it's not possible to determine rest distance
2018-03-15 21:56:28.551 [Thread-25] ERROR database.Query - For airport PUJ it's not possible to determine rest distance
2018-03-15 21:56:28.551 [Thread-29] ERROR database.Query - For airport PRG it's not possible to determine rest distance
2018-03-15 21:56:28.552 [Thread-27] ERROR database.Query - For airport DUS it's not possible to determine rest distance
